seasondoubleyear,Team_Name,Team_ID,season,SeasonStartYear,SeasonEndYear,coach,school,coachtenure,totalgames,totalwins,totallosses,seasonwinpercentage,ncaavisits,ncaavisit,regseasonchamp,ncaachamp
1972-1973,Lehigh,1250,1972-73,1972,1973,"Tom Pugliese",Lehigh,0,25,8,17,0.3200,0,0,0,0
1973-1974,Lehigh,1250,1973-74,1973,1974,"Tom Pugliese",Lehigh,1,24,3,21,0.1250,0,0,0,0
1974-1975,Lehigh,1250,1974-75,1974,1975,"Tom Pugliese",Lehigh,2,24,1,23,0.0417,0,0,0,0
1983-1984,Lehigh,1250,1983-84,1983,1984,"Tom Schneider",Lehigh,0,27,4,23,0.1481,0,0,0,0
1984-1985,Lehigh,1250,1984-85,1984,1985,"Tom Schneider",Lehigh,1,31,12,19,0.3871,0,1,0,1
1996-1997,"Long Beach St",1253,1996-97,1996,1997,"Wayne Morgan","Long Beach State",0,27,13,14,0.4815,0,0,0,0
1997-1998,"Long Beach St",1253,1997-98,1997,1998,"Wayne Morgan","Long Beach State",1,29,10,19,0.3448,0,0,0,0
1998-1999,"Long Beach St",1253,1998-99,1998,1999,"Wayne Morgan","Long Beach State",2,28,13,15,0.4643,0,0,0,0
1999-1900,"Long Beach St",1253,1999-00,1999,1900,"Wayne Morgan","Long Beach State",3,30,24,6,0.8000,0,0,1,0
2000-2001,"Long Beach St",1253,2000-01,2000,2001,"Wayne Morgan","Long Beach State",4,31,18,13,0.5806,0,0,0,0
2001-2002,"Long Beach St",1253,2001-02,2001,2002,"Wayne Morgan","Long Beach State",5,30,13,17,0.4333,0,0,0,0
2008-2009,LSU,1261,2008-09,2008,2009,"Trent Johnson","Louisiana State",9,35,27,8,0.7714,4,1,1,0
2009-2010,LSU,1261,2009-10,2009,2010,"Trent Johnson","Louisiana State",10,31,11,20,0.3548,5,0,0,0
2010-2011,LSU,1261,2010-11,2010,2011,"Trent Johnson","Louisiana State",11,32,11,21,0.3438,5,0,0,0
2011-2012,LSU,1261,2011-12,2011,2012,"Trent Johnson","Louisiana State",12,33,18,15,0.5455,5,0,0,0
1985-1986,"Louisiana Tech",1256,1985-86,1985,1986,"Tommy Joe Eagles","Louisiana Tech",0,34,20,14,0.5882,0,0,0,0
1986-1987,"Louisiana Tech",1256,1986-87,1986,1987,"Tommy Joe Eagles","Louisiana Tech",1,30,22,8,0.7333,0,1,1,1
1987-1988,"Louisiana Tech",1256,1987-88,1987,1988,"Tommy Joe Eagles","Louisiana Tech",2,31,22,9,0.7097,1,0,1,1
1988-1989,"Louisiana Tech",1256,1988-89,1988,1989,"Tommy Joe Eagles","Louisiana Tech",3,32,23,9,0.7188,1,1,0,1
1989-1990,Loyola-Chicago,1260,1989-90,1989,1990,"Will Rey","Loyola (IL)",0,29,7,22,0.2414,0,0,0,0
1990-1991,Loyola-Chicago,1260,1990-91,1990,1991,"Will Rey","Loyola (IL)",1,29,10,19,0.3448,0,0,0,0
1991-1992,Loyola-Chicago,1260,1991-92,1991,1992,"Will Rey","Loyola (IL)",2,29,13,16,0.4483,0,0,0,0
1992-1993,Loyola-Chicago,1260,1992-93,1992,1993,"Will Rey","Loyola (IL)",3,27,7,20,0.2593,0,0,0,0
1993-1994,Loyola-Chicago,1260,1993-94,1993,1994,"Will Rey","Loyola (IL)",4,27,8,19,0.2963,0,0,0,0
1989-1990,"Loyola MD",1259,1989-90,1989,1990,"Tom Schneider","Loyola (MD)",6,28,4,24,0.1429,2,0,0,0
1990-1991,"Loyola MD",1259,1990-91,1990,1991,"Tom Schneider","Loyola (MD)",7,28,12,16,0.4286,2,0,0,0
1991-1992,"Loyola MD",1259,1991-92,1991,1992,"Tom Schneider","Loyola (MD)",8,28,14,14,0.5000,2,0,0,0
1985-1986,Manhattan,1264,1985-86,1985,1986,"Tom Sullivan",Manhattan,0,28,2,26,0.0714,0,0,0,0
1999-1900,Marquette,1266,1999-00,1999,1900,"Tom Crean",Marquette,0,29,15,14,0.5172,0,0,0,0
2000-2001,Marquette,1266,2000-01,2000,2001,"Tom Crean",Marquette,1,29,15,14,0.5172,0,0,0,0
2001-2002,Marquette,1266,2001-02,2001,2002,"Tom Crean",Marquette,2,33,26,7,0.7879,0,1,0,0
2002-2003,Marquette,1266,2002-03,2002,2003,"Tom Crean",Marquette,3,33,27,6,0.8182,1,1,1,0
2003-2004,Marquette,1266,2003-04,2003,2004,"Tom Crean",Marquette,4,31,19,12,0.6129,2,0,0,0
2004-2005,Marquette,1266,2004-05,2004,2005,"Tom Crean",Marquette,5,31,19,12,0.6129,2,0,0,0
2005-2006,Marquette,1266,2005-06,2005,2006,"Tom Crean",Marquette,6,31,20,11,0.6452,2,1,0,0
2006-2007,Marquette,1266,2006-07,2006,2007,"Tom Crean",Marquette,7,34,24,10,0.7059,3,1,0,0
2007-2008,Marquette,1266,2007-08,2007,2008,"Tom Crean",Marquette,8,35,25,10,0.7143,4,1,0,0
2010-2011,Marshall,1267,2010-11,2010,2011,"Tom Herrion",Marshall,8,34,22,12,0.6471,0,0,0,0
2011-2012,Marshall,1267,2011-12,2011,2012,"Tom Herrion",Marshall,9,35,21,14,0.6000,0,0,0,0
2012-2013,Marshall,1267,2012-13,2012,2013,"Tom Herrion",Marshall,10,32,13,19,0.4063,0,0,0,0
2013-2014,Marshall,1267,2013-14,2013,2014,"Tom Herrion",Marshall,11,33,11,22,0.3333,0,0,0,0
1981-1982,Massachusetts,1269,1981-82,1981,1982,"Tom McLaughlin",Massachusetts,0,27,7,20,0.2593,0,0,0,0
1982-1983,Massachusetts,1269,1982-83,1982,1983,"Tom McLaughlin",Massachusetts,1,29,9,20,0.3103,0,0,0,0
2005-2006,Massachusetts,1269,2005-06,2005,2006,"Travis Ford",Massachusetts,5,28,13,15,0.4643,1,0,0,0
2006-2007,Massachusetts,1269,2006-07,2006,2007,"Travis Ford",Massachusetts,6,33,24,9,0.7273,1,0,1,0
2007-2008,Massachusetts,1269,2007-08,2007,2008,"Travis Ford",Massachusetts,7,36,25,11,0.6944,1,0,0,0
1974-1975,Memphis,1272,1974-75,1974,1975,"Wayne Yates",Memphis,0,27,20,7,0.7407,0,0,0,0
1975-1976,Memphis,1272,1975-76,1975,1976,"Wayne Yates",Memphis,1,30,21,9,0.7000,0,1,0,0
1976-1977,Memphis,1272,1976-77,1976,1977,"Wayne Yates",Memphis,2,29,20,9,0.6897,1,0,0,0
1977-1978,Memphis,1272,1977-78,1977,1978,"Wayne Yates",Memphis,3,28,19,9,0.6786,1,0,0,0
1978-1979,Memphis,1272,1978-79,1978,1979,"Wayne Yates",Memphis,4,28,13,15,0.4643,1,0,0,0
2001-2002,Michigan,1276,2001-02,2001,2002,"Tommy Amaker",Michigan,4,29,11,18,0.3793,1,0,0,0
2002-2003,Michigan,1276,2002-03,2002,2003,"Tommy Amaker",Michigan,5,30,17,13,0.5667,1,1,0,0
2003-2004,Michigan,1276,2003-04,2003,2004,"Tommy Amaker",Michigan,6,34,23,11,0.6765,2,0,0,0
2004-2005,Michigan,1276,2004-05,2004,2005,"Tommy Amaker",Michigan,7,31,13,18,0.4194,2,0,0,0
2005-2006,Michigan,1276,2005-06,2005,2006,"Tommy Amaker",Michigan,8,33,22,11,0.6667,2,0,0,0
2006-2007,Michigan,1276,2006-07,2006,2007,"Tommy Amaker",Michigan,9,35,22,13,0.6286,2,0,0,0
1995-1996,"Michigan St",1277,1995-96,1995,1996,"Tom Izzo","Michigan State",0,32,16,16,0.5000,0,0,0,0
1996-1997,"Michigan St",1277,1996-97,1996,1997,"Tom Izzo","Michigan State",1,29,17,12,0.5862,0,0,0,0
1997-1998,"Michigan St",1277,1997-98,1997,1998,"Tom Izzo","Michigan State",2,30,22,8,0.7333,0,1,1,0
1998-1999,"Michigan St",1277,1998-99,1998,1999,"Tom Izzo","Michigan State",3,38,33,5,0.8684,1,1,1,1
1999-1900,"Michigan St",1277,1999-00,1999,1900,"Tom Izzo","Michigan State",4,39,32,7,0.8205,2,1,1,1
2000-2001,"Michigan St",1277,2000-01,2000,2001,"Tom Izzo","Michigan State",5,33,28,5,0.8485,3,1,1,0
2001-2002,"Michigan St",1277,2001-02,2001,2002,"Tom Izzo","Michigan State",6,31,19,12,0.6129,4,1,0,0
2002-2003,"Michigan St",1277,2002-03,2002,2003,"Tom Izzo","Michigan State",7,35,22,13,0.6286,5,1,0,0
2003-2004,"Michigan St",1277,2003-04,2003,2004,"Tom Izzo","Michigan State",8,30,18,12,0.6000,6,1,0,0
2004-2005,"Michigan St",1277,2004-05,2004,2005,"Tom Izzo","Michigan State",9,33,26,7,0.7879,7,1,0,0
2005-2006,"Michigan St",1277,2005-06,2005,2006,"Tom Izzo","Michigan State",10,34,22,12,0.6471,8,1,0,0
2006-2007,"Michigan St",1277,2006-07,2006,2007,"Tom Izzo","Michigan State",11,35,23,12,0.6571,9,1,0,0
2007-2008,"Michigan St",1277,2007-08,2007,2008,"Tom Izzo","Michigan State",12,36,27,9,0.7500,10,1,0,0
2008-2009,"Michigan St",1277,2008-09,2008,2009,"Tom Izzo","Michigan State",13,38,31,7,0.8158,11,1,1,0
2009-2010,"Michigan St",1277,2009-10,2009,2010,"Tom Izzo","Michigan State",14,37,28,9,0.7568,12,1,1,0
2010-2011,"Michigan St",1277,2010-11,2010,2011,"Tom Izzo","Michigan State",15,34,19,15,0.5588,13,1,0,0
2011-2012,"Michigan St",1277,2011-12,2011,2012,"Tom Izzo","Michigan State",16,37,29,8,0.7838,14,1,1,1
2012-2013,"Michigan St",1277,2012-13,2012,2013,"Tom Izzo","Michigan State",17,36,27,9,0.7500,15,1,0,0
2013-2014,"Michigan St",1277,2013-14,2013,2014,"Tom Izzo","Michigan State",18,38,29,9,0.7632,16,1,0,1
2014-2015,"Michigan St",1277,2014-15,2014,2015,"Tom Izzo","Michigan State",19,39,27,12,0.6923,17,1,0,0
2015-2016,"Michigan St",1277,2015-16,2015,2016,"Tom Izzo","Michigan State",20,27,22,5,0.8148,18,0,0,0
2007-2008,Minnesota,1278,2007-08,2007,2008,"Tubby Smith",Minnesota,16,34,20,14,0.5882,14,0,0,0
2008-2009,Minnesota,1278,2008-09,2008,2009,"Tubby Smith",Minnesota,17,33,22,11,0.6667,14,1,0,0
2009-2010,Minnesota,1278,2009-10,2009,2010,"Tubby Smith",Minnesota,18,35,21,14,0.6000,15,1,0,0
2010-2011,Minnesota,1278,2010-11,2010,2011,"Tubby Smith",Minnesota,19,31,17,14,0.5484,16,0,0,0
2011-2012,Minnesota,1278,2011-12,2011,2012,"Tubby Smith",Minnesota,20,38,23,15,0.6053,16,0,0,0
2012-2013,Minnesota,1278,2012-13,2012,2013,"Tubby Smith",Minnesota,21,34,21,13,0.6176,16,1,0,0
1987-1988,"Monmouth NJ",1284,1987-88,1987,1988,"Wayne Szoke",Monmouth,3,29,16,13,0.5517,0,0,0,0
1988-1989,"Monmouth NJ",1284,1988-89,1988,1989,"Wayne Szoke",Monmouth,4,28,15,13,0.5357,0,0,0,0
1989-1990,"Monmouth NJ",1284,1989-90,1989,1990,"Wayne Szoke",Monmouth,5,29,17,12,0.5862,0,0,0,0
1990-1991,"Monmouth NJ",1284,1990-91,1990,1991,"Wayne Szoke",Monmouth,6,29,19,10,0.6552,0,0,0,0
1991-1992,"Monmouth NJ",1284,1991-92,1991,1992,"Wayne Szoke",Monmouth,7,29,20,9,0.6897,0,0,0,0
1992-1993,"Monmouth NJ",1284,1992-93,1992,1993,"Wayne Szoke",Monmouth,8,28,11,17,0.3929,0,0,0,0
1993-1994,"Monmouth NJ",1284,1993-94,1993,1994,"Wayne Szoke",Monmouth,9,29,18,11,0.6207,0,0,0,0
1994-1995,"Monmouth NJ",1284,1994-95,1994,1995,"Wayne Szoke",Monmouth,10,27,13,14,0.4815,0,0,0,0
1995-1996,"Monmouth NJ",1284,1995-96,1995,1996,"Wayne Szoke",Monmouth,11,30,20,10,0.6667,0,1,0,1
1996-1997,"Monmouth NJ",1284,1996-97,1996,1997,"Wayne Szoke",Monmouth,12,29,18,11,0.6207,1,0,0,0
1997-1998,"Monmouth NJ",1284,1997-98,1997,1998,"Wayne Szoke",Monmouth,13,14,1,13,0.0714,1,0,0,0
2006-2007,Montana,1285,2006-07,2006,2007,"Wayne Tinkle",Montana,0,32,17,15,0.5313,0,0,0,0
2007-2008,Montana,1285,2007-08,2007,2008,"Wayne Tinkle",Montana,1,30,14,16,0.4667,0,0,0,0
2008-2009,Montana,1285,2008-09,2008,2009,"Wayne Tinkle",Montana,2,29,17,12,0.5862,0,0,0,0
2009-2010,Montana,1285,2009-10,2009,2010,"Wayne Tinkle",Montana,3,32,22,10,0.6875,0,1,0,1
2010-2011,Montana,1285,2010-11,2010,2011,"Wayne Tinkle",Montana,4,32,21,11,0.6563,1,0,0,0
2011-2012,Montana,1285,2011-12,2011,2012,"Wayne Tinkle",Montana,5,32,25,7,0.7813,1,1,1,1
2012-2013,Montana,1285,2012-13,2012,2013,"Wayne Tinkle",Montana,6,32,25,7,0.7813,2,1,1,1
2013-2014,Montana,1285,2013-14,2013,2014,"Wayne Tinkle",Montana,7,30,17,13,0.5667,3,0,0,0
1987-1988,"Morehead St",1287,1987-88,1987,1988,"Tommy Gaither","Morehead State",4,27,5,22,0.1852,0,0,0,0
1988-1989,"Morehead St",1287,1988-89,1988,1989,"Tommy Gaither","Morehead State",5,31,15,16,0.4839,0,0,0,0
1989-1990,"Morehead St",1287,1989-90,1989,1990,"Tommy Gaither","Morehead State",6,29,16,13,0.5517,0,0,0,0
1990-1991,"Morehead St",1287,1990-91,1990,1991,"Tommy Gaither","Morehead State",7,29,16,13,0.5517,0,0,0,0
1978-1979,"Morehead St",1287,1978-79,1978,1979,"Wayne Martin","Morehead State",0,27,14,13,0.5185,0,0,0,0
1979-1980,"Morehead St",1287,1979-80,1979,1980,"Wayne Martin","Morehead State",1,27,15,12,0.5556,0,0,0,0
1980-1981,"Morehead St",1287,1980-81,1980,1981,"Wayne Martin","Morehead State",2,26,11,15,0.4231,0,0,0,0
1981-1982,"Morehead St",1287,1981-82,1981,1982,"Wayne Martin","Morehead State",3,27,17,10,0.6296,0,0,0,0
1982-1983,"Morehead St",1287,1982-83,1982,1983,"Wayne Martin","Morehead State",4,30,19,11,0.6333,0,1,0,1
1983-1984,"Morehead St",1287,1983-84,1983,1984,"Wayne Martin","Morehead State",5,31,25,6,0.8065,1,1,1,1
1984-1985,"Morehead St",1287,1984-85,1984,1985,"Wayne Martin","Morehead State",6,27,7,20,0.2593,2,0,0,0
1985-1986,"Morehead St",1287,1985-86,1985,1986,"Wayne Martin","Morehead State",7,27,8,19,0.2963,2,0,0,0
1986-1987,"Morehead St",1287,1986-87,1986,1987,"Wayne Martin","Morehead State",8,28,14,14,0.5000,2,0,0,0
2006-2007,"Morgan St",1288,2006-07,2006,2007,"Todd Bozeman","Morgan State",14,31,13,18,0.4194,3,0,0,0
2007-2008,"Morgan St",1288,2007-08,2007,2008,"Todd Bozeman","Morgan State",15,33,22,11,0.6667,3,0,1,0
2008-2009,"Morgan St",1288,2008-09,2008,2009,"Todd Bozeman","Morgan State",16,35,23,12,0.6571,3,1,1,1
2009-2010,"Morgan St",1288,2009-10,2009,2010,"Todd Bozeman","Morgan State",17,37,27,10,0.7297,4,1,1,1
2010-2011,"Morgan St",1288,2010-11,2010,2011,"Todd Bozeman","Morgan State",18,31,17,14,0.5484,5,0,0,0
2011-2012,"Morgan St",1288,2011-12,2011,2012,"Todd Bozeman","Morgan State",19,29,9,20,0.3103,5,0,0,0
2012-2013,"Morgan St",1288,2012-13,2012,2013,"Todd Bozeman","Morgan State",20,32,17,15,0.5313,5,0,0,0
2013-2014,"Morgan St",1288,2013-14,2013,2014,"Todd Bozeman","Morgan State",21,31,15,16,0.4839,5,0,0,0
2014-2015,"Morgan St",1288,2014-15,2014,2015,"Todd Bozeman","Morgan State",22,31,7,24,0.2258,5,0,0,0
2015-2016,"Morgan St",1288,2015-16,2015,2016,"Todd Bozeman","Morgan State",23,25,5,20,0.2000,5,0,0,0
2012-2013,Nebraska,1304,2012-13,2012,2013,"Tim Miles",Nebraska,5,33,15,18,0.4545,1,0,0,0
2013-2014,Nebraska,1304,2013-14,2013,2014,"Tim Miles",Nebraska,6,32,19,13,0.5938,1,1,0,0
2014-2015,Nebraska,1304,2014-15,2014,2015,"Tim Miles",Nebraska,7,31,13,18,0.4194,2,0,0,0
2015-2016,Nebraska,1304,2015-16,2015,2016,"Tim Miles",Nebraska,8,28,14,14,0.5000,2,0,0,0
1999-1900,Nevada,1305,1999-00,1999,1900,"Trent Johnson",Nevada,0,29,9,20,0.3103,0,0,0,0
2000-2001,Nevada,1305,2000-01,2000,2001,"Trent Johnson",Nevada,1,28,10,18,0.3571,0,0,0,0
2001-2002,Nevada,1305,2001-02,2001,2002,"Trent Johnson",Nevada,2,30,17,13,0.5667,0,0,0,0
2002-2003,Nevada,1305,2002-03,2002,2003,"Trent Johnson",Nevada,3,32,18,14,0.5625,0,0,0,0
2003-2004,Nevada,1305,2003-04,2003,2004,"Trent Johnson",Nevada,4,34,25,9,0.7353,0,1,1,1
2004-2005,"New Mexico St",1308,2004-05,2004,2005,"Tony Stubblefield","New Mexico State",0,14,2,12,0.1429,0,0,0,0
1979-1980,"New Mexico St",1308,1979-80,1979,1980,"Weldon Drew","New Mexico State",0,27,17,10,0.6296,0,0,0,0
1980-1981,"New Mexico St",1308,1980-81,1980,1981,"Weldon Drew","New Mexico State",1,27,10,17,0.3704,0,0,0,0
1981-1982,"New Mexico St",1308,1981-82,1981,1982,"Weldon Drew","New Mexico State",2,28,17,11,0.6071,0,0,0,0
1982-1983,"New Mexico St",1308,1982-83,1982,1983,"Weldon Drew","New Mexico State",3,29,18,11,0.6207,0,0,0,0
1983-1984,"New Mexico St",1308,1983-84,1983,1984,"Weldon Drew","New Mexico State",4,28,13,15,0.4643,0,0,0,0
1984-1985,"New Mexico St",1308,1984-85,1984,1985,"Weldon Drew","New Mexico State",5,27,7,20,0.2593,0,0,0,0
1999-1900,"Norfolk St",1313,1999-00,1999,1900,"Wil Jones","Norfolk State",0,28,12,16,0.4286,0,0,0,0
2000-2001,"Norfolk St",1313,2000-01,2000,2001,"Wil Jones","Norfolk State",1,29,12,17,0.4138,0,0,0,0
2001-2002,"Norfolk St",1313,2001-02,2001,2002,"Wil Jones","Norfolk State",2,29,10,19,0.3448,0,0,0,0
1993-1994,"North Texas",1317,1993-94,1993,1994,"Tim Jankovich","North Texas",0,29,14,15,0.4828,0,0,0,0
1994-1995,"North Texas",1317,1994-95,1994,1995,"Tim Jankovich","North Texas",1,27,14,13,0.5185,0,0,0,0
1995-1996,"North Texas",1317,1995-96,1995,1996,"Tim Jankovich","North Texas",2,28,15,13,0.5357,0,0,0,0
1996-1997,"North Texas",1317,1996-97,1996,1997,"Tim Jankovich","North Texas",3,26,10,16,0.3846,0,0,0,0
1983-1984,"North Texas",1317,1983-84,1983,1984,"Tommy Newman","North Texas",0,28,9,19,0.3214,0,0,0,0
1984-1985,"North Texas",1317,1984-85,1984,1985,"Tommy Newman","North Texas",1,28,5,23,0.1786,0,0,0,0
1985-1986,"North Texas",1317,1985-86,1985,1986,"Tommy Newman","North Texas",2,28,10,18,0.3571,0,0,0,0
2012-2013,"North Texas",1317,2012-13,2012,2013,"Tony Benford","North Texas",0,32,12,20,0.3750,0,0,0,0
2013-2014,"North Texas",1317,2013-14,2013,2014,"Tony Benford","North Texas",1,32,16,16,0.5000,0,0,0,0
2014-2015,"North Texas",1317,2014-15,2014,2015,"Tony Benford","North Texas",2,31,14,17,0.4516,0,0,0,0
2015-2016,"North Texas",1317,2015-16,2015,2016,"Tony Benford","North Texas",3,27,11,16,0.4074,0,0,0,0
1997-1998,"North Texas",1317,1997-98,1997,1998,"Vic Trilli","North Texas",0,26,5,21,0.1923,0,0,0,0
1998-1999,"North Texas",1317,1998-99,1998,1999,"Vic Trilli","North Texas",1,26,4,22,0.1538,0,0,0,0
1999-1900,"North Texas",1317,1999-00,1999,1900,"Vic Trilli","North Texas",2,27,7,20,0.2593,0,0,0,0
2000-2001,"North Texas",1317,2000-01,2000,2001,"Vic Trilli","North Texas",3,28,4,24,0.1429,0,0,0,0
1976-1977,"Northwestern LA",1322,1976-77,1976,1977,"Tynes Hildebrand","Northwestern State",0,26,17,9,0.6538,0,0,0,0
1977-1978,"Northwestern LA",1322,1977-78,1977,1978,"Tynes Hildebrand","Northwestern State",1,27,12,15,0.4444,0,0,0,0
1978-1979,"Northwestern LA",1322,1978-79,1978,1979,"Tynes Hildebrand","Northwestern State",2,26,7,19,0.2692,0,0,0,0
1979-1980,"Northwestern LA",1322,1979-80,1979,1980,"Tynes Hildebrand","Northwestern State",3,25,5,20,0.2000,0,0,0,0
1980-1981,"Northwestern LA",1322,1980-81,1980,1981,"Wayne Yates","Northwestern State",6,28,11,17,0.3929,1,0,0,0
1981-1982,"Northwestern LA",1322,1981-82,1981,1982,"Wayne Yates","Northwestern State",7,28,19,9,0.6786,1,0,0,0
1982-1983,"Northwestern LA",1322,1982-83,1982,1983,"Wayne Yates","Northwestern State",8,28,9,19,0.3214,1,0,0,0
1983-1984,"Northwestern LA",1322,1983-84,1983,1984,"Wayne Yates","Northwestern State",9,28,6,22,0.2143,1,0,0,0
1984-1985,"Northwestern LA",1322,1984-85,1984,1985,"Wayne Yates","Northwestern State",10,28,3,25,0.1071,1,0,0,0
2001-2002,Ohio,1325,2001-02,2001,2002,"Tim O'Shea",Ohio,0,28,17,11,0.6071,0,0,0,0
2002-2003,Ohio,1325,2002-03,2002,2003,"Tim O'Shea",Ohio,1,30,14,16,0.4667,0,0,0,0
2003-2004,Ohio,1325,2003-04,2003,2004,"Tim O'Shea",Ohio,2,30,10,20,0.3333,0,0,0,0
2004-2005,Ohio,1325,2004-05,2004,2005,"Tim O'Shea",Ohio,3,32,21,11,0.6563,0,1,0,1
2005-2006,Ohio,1325,2005-06,2005,2006,"Tim O'Shea",Ohio,4,30,19,11,0.6333,1,0,0,0
2006-2007,Ohio,1325,2006-07,2006,2007,"Tim O'Shea",Ohio,5,32,19,13,0.5938,1,0,0,0
2007-2008,Ohio,1325,2007-08,2007,2008,"Tim O'Shea",Ohio,6,33,20,13,0.6061,1,0,0,0
2008-2009,"Oklahoma St",1329,2008-09,2008,2009,"Travis Ford","Oklahoma State",8,35,23,12,0.6571,1,1,0,0
2009-2010,"Oklahoma St",1329,2009-10,2009,2010,"Travis Ford","Oklahoma State",9,33,22,11,0.6667,2,1,0,0
2010-2011,"Oklahoma St",1329,2010-11,2010,2011,"Travis Ford","Oklahoma State",10,34,20,14,0.5882,3,0,0,0
2011-2012,"Oklahoma St",1329,2011-12,2011,2012,"Travis Ford","Oklahoma State",11,33,15,18,0.4545,3,0,0,0
2012-2013,"Oklahoma St",1329,2012-13,2012,2013,"Travis Ford","Oklahoma State",12,33,24,9,0.7273,3,1,0,0
2013-2014,"Oklahoma St",1329,2013-14,2013,2014,"Travis Ford","Oklahoma State",13,34,21,13,0.6176,4,1,0,0
2014-2015,"Oklahoma St",1329,2014-15,2014,2015,"Travis Ford","Oklahoma State",14,32,18,14,0.5625,5,1,0,0
2015-2016,"Oklahoma St",1329,2015-16,2015,2016,"Travis Ford","Oklahoma State",15,27,12,15,0.4444,6,0,0,0
1985-1986,"Old Dominion",1330,1985-86,1985,1986,"Tom Young","Old Dominion",16,31,23,8,0.7419,4,1,1,0
1986-1987,"Old Dominion",1330,1986-87,1986,1987,"Tom Young","Old Dominion",17,28,6,22,0.2143,5,0,0,0
1987-1988,"Old Dominion",1330,1987-88,1987,1988,"Tom Young","Old Dominion",18,30,18,12,0.6000,5,0,0,0
1988-1989,"Old Dominion",1330,1988-89,1988,1989,"Tom Young","Old Dominion",19,28,15,13,0.5357,5,0,0,0
1989-1990,"Old Dominion",1330,1989-90,1989,1990,"Tom Young","Old Dominion",20,28,14,14,0.5000,5,0,0,0
1990-1991,"Old Dominion",1330,1990-91,1990,1991,"Tom Young","Old Dominion",21,32,14,18,0.4375,5,0,0,0
2014-2015,"Oregon St",1333,2014-15,2014,2015,"Wayne Tinkle","Oregon State",8,31,17,14,0.5484,3,0,0,0
2015-2016,"Oregon St",1333,2015-16,2015,2016,"Wayne Tinkle","Oregon State",9,25,15,10,0.6000,3,0,0,0
1982-1983,Pacific,1334,1982-83,1982,1983,"Tom O'Neill",Pacific,0,28,7,21,0.2500,0,0,0,0
1983-1984,Pacific,1334,1983-84,1983,1984,"Tom O'Neill",Pacific,1,30,3,27,0.1000,0,0,0,0
1984-1985,Pacific,1334,1984-85,1984,1985,"Tom O'Neill",Pacific,2,28,9,19,0.3214,0,0,0,0
1985-1986,Pacific,1334,1985-86,1985,1986,"Tom O'Neill",Pacific,3,31,17,14,0.5484,0,0,0,0
1986-1987,Pacific,1334,1986-87,1986,1987,"Tom O'Neill",Pacific,4,27,10,17,0.3704,0,0,0,0
1987-1988,Pacific,1334,1987-88,1987,1988,"Tom O'Neill",Pacific,5,17,5,12,0.2941,0,0,0,0
1988-1989,Pepperdine,1337,1988-89,1988,1989,"Tom Asbury",Pepperdine,0,33,20,13,0.6061,0,0,0,0
1989-1990,Pepperdine,1337,1989-90,1989,1990,"Tom Asbury",Pepperdine,1,28,17,11,0.6071,0,0,0,0
1990-1991,Pepperdine,1337,1990-91,1990,1991,"Tom Asbury",Pepperdine,2,31,22,9,0.7097,0,1,1,1
1991-1992,Pepperdine,1337,1991-92,1991,1992,"Tom Asbury",Pepperdine,3,31,24,7,0.7742,1,1,1,1
1992-1993,Pepperdine,1337,1992-93,1992,1993,"Tom Asbury",Pepperdine,4,31,23,8,0.7419,2,0,1,0
1993-1994,Pepperdine,1337,1993-94,1993,1994,"Tom Asbury",Pepperdine,5,30,19,11,0.6333,2,1,0,1
2008-2009,Pepperdine,1337,2008-09,2008,2009,"Tom Asbury",Pepperdine,20,32,9,23,0.2813,4,0,0,0
2009-2010,Pepperdine,1337,2009-10,2009,2010,"Tom Asbury",Pepperdine,21,31,7,24,0.2258,4,0,0,0
2010-2011,Pepperdine,1337,2010-11,2010,2011,"Tom Asbury",Pepperdine,22,33,12,21,0.3636,4,0,0,0
1994-1995,Pepperdine,1337,1994-95,1994,1995,"Tony Fuller",Pepperdine,2,27,8,19,0.2963,0,0,0,0
1995-1996,Pepperdine,1337,1995-96,1995,1996,"Tony Fuller",Pepperdine,3,15,7,8,0.4667,0,0,0,0
2006-2007,Pepperdine,1337,2006-07,2006,2007,"Vance Walberg",Pepperdine,0,31,8,23,0.2581,0,0,0,0
2007-2008,Pepperdine,1337,2007-08,2007,2008,"Vance Walberg",Pepperdine,1,18,6,12,0.3333,0,0,0,0
2009-2010,"Portland St",1340,2009-10,2009,2010,"Tyler Geving","Portland State",0,32,13,19,0.4063,0,0,0,0
2010-2011,"Portland St",1340,2010-11,2010,2011,"Tyler Geving","Portland State",1,30,14,16,0.4667,0,0,0,0
2011-2012,"Portland St",1340,2011-12,2011,2012,"Tyler Geving","Portland State",2,32,17,15,0.5313,0,0,0,0
2012-2013,"Portland St",1340,2012-13,2012,2013,"Tyler Geving","Portland State",3,28,8,20,0.2857,0,0,0,0
2013-2014,"Portland St",1340,2013-14,2013,2014,"Tyler Geving","Portland State",4,32,17,15,0.5313,0,0,0,0
2014-2015,"Portland St",1340,2014-15,2014,2015,"Tyler Geving","Portland State",5,29,15,14,0.5172,0,0,0,0
2015-2016,"Portland St",1340,2015-16,2015,2016,"Tyler Geving","Portland State",6,25,9,16,0.3600,0,0,0,0
1998-1999,Providence,1344,1998-99,1998,1999,"Tim Welsh",Providence,3,30,16,14,0.5333,1,0,0,0
